Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
TK.V,41086920.0,N/A,-3.5,N/A,0.5497382,N/A,6.401,N/A,N/A,28.86187821,N/A,N/A,N/A,-1.568,-1.919258282,-1.916593221,N/A,N/A,-3.854442619,-24.314,False,Basic Materials
ZNG.V,40309424.0,N/A,N/A,N/A,4.9999995,N/A,6.659,N/A,N/A,0.0,N/A,-0.02,N/A,-23.306999,-21.67147496,-30.18778867,N/A,N/A,N/A,-15.052,False,Basic Materials
DMX.V,39511532.0,N/A,N/A,N/A,2.8773587,N/A,4.055,N/A,N/A,9.639799639,N/A,-0.01,N/A,-15.37,-14.25730278,-17.03106628,N/A,N/A,N/A,N/A,False,Basic Materials
BTR.V,37588440.0,N/A,N/A,N/A,2.9487178,N/A,1.651,N/A,N/A,30.69022714,N/A,-0.05,N/A,-57.136,-25.39325965,-63.41870283,N/A,N/A,-14.43382941,-2.991,False,Basic Materials
IGO.V,39434172.0,N/A,-3.357143,N/A,7.121212,N/A,3.143,0.06764,N/A,-10.66819197,N/A,-0.03,N/A,-94.099,-78.45325476,-67.58978349,N/A,N/A,-10.88286551,-8.782,False,Basic Materials
NWST.V,40462624.0,N/A,-4.375,N/A,0.50287354,N/A,2.978,N/A,N/A,12.35183857,N/A,-0.03,N/A,-6.386,-6.29814867,-6.437575868,N/A,N/A,-10.24349381,-9.21,False,Basic Materials
ARIC.V,39058876.0,N/A,N/A,3271.8108,2.866242,N/A,7.409,N/A,N/A,24.01643143,N/A,-0.01,N/A,-11.5150005,-9.833323975,-14.2652219,N/A,100.0,-5.743056206,-37.288,False,Basic Materials
SURG.V,38660220.0,N/A,-13.500001,N/A,0.7336957,N/A,4.532,0.00139,N/A,36.10568958,N/A,-0.01,N/A,-3.988,-3.575912465,-4.090278787,N/A,N/A,-8.537267068,-11.957,False,Basic Materials
DAN.V,38549100.0,N/A,-4.75,N/A,1.111111,N/A,0.956,0.77249,N/A,48.24642643,N/A,-0.01,N/A,-15.706,-5.104995138,-5.643201139,N/A,N/A,-3.020436237,-25.26,False,Basic Materials
BBB.V,39563676.0,N/A,N/A,N/A,2.0731707,N/A,4.758,0.00319,N/A,0.0,N/A,-0.04,N/A,-72.552,-62.87769792,-70.53784578,N/A,N/A,-54.09916141,-1.779,False,Basic Materials
ESK.V,38559568.0,N/A,-7.0,N/A,7.2413793,N/A,10.003,N/A,N/A,33.1259695,N/A,-0.01,N/A,-39.713,5.476597542,5.794771335,N/A,N/A,N/A,-6.911,False,Basic Materials
ABI.V,38264216.0,N/A,N/A,145.37303,N/A,N/A,0.4,N/A,-26.51686633,N/A,N/A,-0.05,N/A,-1469.5351,-84.26298006,696.8577954,N/A,N/A,-31.84617456,-1.982,False,Basic Materials
AHR.V,37048024.0,N/A,N/A,N/A,35.0,N/A,1.317,0.81969,N/A,N/A,N/A,N/A,N/A,-564.65898,-97.22773404,-1174.537852,N/A,N/A,N/A,-2.027,True,Basic Materials
