Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
CG.TO,below,within,below,below,within,above,below,within,within,within,above,below,above,above,above,above,above,above,above,below
CFP.TO,within,within,below,below,within,within,below,below,within,within,below,within,above,above,within,below,below,below,below,within
LIF.TO,below,within,above,above,above,below,within,below,below,above,above,within,above,above,above,above,above,within,within,within
TLRY.TO,within,within,below,below,within,below,below,within,above,within,above,within,above,above,above,within,below,above,above,above
IPCO.TO,within,within,within,within,within,above,within,above,within,above,above,within,above,above,above,above,within,below,below,within
TSU.TO,above,within,below,above,within,within,within,above,above,below,within,within,above,within,above,below,within,within,within,within
FRU.TO,within,within,above,above,above,above,below,above,within,above,within,within,above,above,above,above,above,within,within,within
BB.TO,within,above,within,within,within,within,within,below,above,within,below,below,below,below,below,below,above,below,below,above
NFI.TO,within,within,below,above,within,within,above,below,above,within,below,above,below,below,below,below,below,below,below,above
TVK.TO,above,above,above,above,below,above,above,within,within,above,above,within,above,above,above,below,below,within,within,above
FOM.TO,within,within,within,above,within,above,below,within,below,within,within,within,above,above,above,within,within,within,within,within
DCBO.TO,above,above,above,above,within,below,below,above,within,within,above,within,above,above,above,above,above,within,within,above
MEQ.TO,below,within,above,within,below,below,within,within,within,within,above,within,above,above,above,above,within,within,within,above
HUT.TO,within,within,above,above,within,within,within,within,within,within,below,within,within,above,above,above,below,below,below,below
WDO.TO,above,within,above,above,within,below,below,above,within,within,above,within,above,above,above,above,within,above,above,within
LNF.TO,within,within,within,within,within,within,below,below,below,above,above,within,above,above,above,above,within,above,above,within
GATO.TO,above,above,within,above,within,above,below,within,within,within,above,within,above,above,above,within,within,within,within,within
OSK.TO,within,within,within,within,within,above,below,within,within,below,above,within,above,above,above,within,within,above,above,within
INE.TO,within,within,within,within,within,below,above,above,below,within,below,within,below,below,below,below,above,below,below,within
EDR.TO,within,within,above,above,within,within,below,within,above,within,below,within,above,above,above,below,within,within,within,above
IE.TO,within,within,above,above,within,above,within,below,below,within,below,within,below,below,below,within,within,below,below,within
PET.TO,within,within,above,above,within,within,above,within,above,below,within,above,above,above,above,above,within,within,above,within
CEU.TO,within,within,below,above,below,above,within,within,within,above,within,below,above,above,above,within,below,above,within,within
IIP-UN.TO,within,within,above,below,below,below,below,above,below,within,below,within,below,below,below,below,within,within,within,within
DNTL.TO,within,within,below,below,within,below,above,above,above,within,above,within,above,above,above,above,within,above,above,above
SSRM.TO,within,within,below,below,above,above,below,above,within,below,below,within,within,above,within,below,within,above,above,above
NG.TO,within,within,within,within,within,above,within,within,below,within,below,within,within,below,below,within,within,above,above,within
ENGH.TO,below,within,within,within,above,within,below,below,below,above,above,within,above,above,above,above,within,above,above,below
BDT.TO,within,within,below,above,above,within,within,above,within,above,within,within,above,above,above,below,below,below,below,within
SPB.TO,within,within,below,within,above,within,within,above,below,within,below,within,below,below,below,below,within,above,above,within
EFR.TO,within,above,above,above,within,above,below,above,within,within,below,within,below,below,below,below,within,below,below,within
HPS-A.TO,within,within,within,above,below,within,below,above,above,above,above,within,above,above,above,above,within,within,within,within
SIS.TO,above,within,within,within,above,within,within,above,below,above,below,above,within,within,within,within,within,above,above,within
SII.TO,above,above,above,above,within,above,below,within,above,below,within,within,above,above,above,within,within,within,within,above
